t_req	t_hold	t_exp	source	dest	lp_size	slot_indx
0.000000	11.922721	11.922721	8	9	9	265
0.058659	3.370675	3.429333	7	6	5	119
0.434924	2.572841	3.007764	0	2	3	209
0.599517	8.014337	8.613854	8	0	4	13
0.713635	12.710709	13.424344	10	8	3	249
0.734838	5.500975	6.235813	2	4	2	78
0.756037	39.509821	40.265858	5	4	2	141
0.763517	11.546423	12.309940	7	8	3	83
1.014921	6.557202	7.572123	10	4	5	218
1.129806	4.977737	6.107543	3	8	4	141
1.283713	4.203423	5.487135	10	8	6	172
1.286313	13.058199	14.344511	9	8	5	264
1.724257	5.772722	7.496979	3	4	1	40
1.947561	0.615328	2.562889	6	10	1	58
1.977397	5.075714	7.053110	11	1	7	327
2.002482	13.393932	15.396414	5	9	5	342
2.027808	2.014943	4.042751	11	10	7	389
2.073152	1.929196	4.002349	10	0	4	292
2.166143	7.583288	9.749432	11	4	8	119
2.236835	7.589186	9.826022	9	7	9	363
2.279863	10.062181	12.342044	7	10	3	62
2.398160	18.933391	21.331551	7	5	1	132
2.416939	12.890055	15.306994	5	9	4	299
2.460128	9.442364	11.902492	4	10	7	307
2.517163	12.817303	15.334467	0	5	7	67
2.593280	3.900233	6.493513	0	5	8	293
2.785522	4.490858	7.276380	6	3	7	258
2.813364	2.591118	5.404482	10	4	8	310
2.903618	3.477351	6.380968	7	0	9	343
3.015806	9.968939	12.984745	6	8	1	92
3.021751	0.966265	3.988016	4	3	1	202
3.138668	5.686334	8.825002	0	9	7	49
3.162038	5.636337	8.798375	7	5	10	268
3.170446	6.805965	9.976411	9	5	4	187
3.542157	5.548303	9.090460	5	0	10	8
3.963486	3.743462	7.706948	1	0	7	81
4.170027	5.557381	9.727408	4	1	6	139
4.215438	22.385701	26.601139	8	0	8	159
4.228285	28.852651	33.080937	11	1	2	165
4.372379	6.968273	11.340652	5	10	4	92
4.444890	9.780410	14.225301	9	5	8	15
4.461160	1.228666	5.689826	11	3	7	132
4.546603	3.816785	8.363388	1	10	4	20
4.550977	5.358464	9.909441	10	7	10	154
